<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
US1.AAPL;D;110601;000000;349.0000000;352.1320000;344.6500000;345.5000000;18.603.987
US1.AAPL;D;110602;000000;346.5000000;347.9800000;344.3000000;345.9400000;11.542.072
US1.AAPL;D;110603;000000;343.2000000;345.3300000;342.0100000;343.3100000;10.450.079
US1.AAPL;D;110606;000000;345.7000000;347.0500000;337.8100000;338.0550000;15.993.786
US1.AAPL;D;110607;000000;338.2000000;338.2200000;331.9000000;331.9100000;17.782.381
US1.AAPL;D;110608;000000;331.8500000;334.8000000;330.6500000;332.3100000;11.251.369
US1.AAPL;D;110609;000000;333.2400000;333.6700000;330.7500000;331.5000000;9.300.727
US1.AAPL;D;110610;000000;330.5500000;331.6600000;325.5100000;325.5700000;14.731.576
US1.AAPL;D;110613;000000;327.1600000;328.3100000;325.0700000;326.5900000;11.145.957
US1.AAPL;D;110614;000000;330.0200000;333.2500000;329.3100000;332.3300000;10.740.071
US1.AAPL;D;110615;000000;329.7400000;330.3000000;324.8800000;326.7900000;13.162.562
US1.AAPL;D;110616;000000;326.9900000;328.6811000;318.3300000;325.1600000;17.290.812
US1.AAPL;D;110617;000000;328.9900000;329.2500000;319.3600000;320.3100000;18.203.467
US1.AAPL;D;110620;000000;317.3100000;317.7000000;310.5000000;315.3200000;21.932.716
US1.AAPL;D;110621;000000;316.7600000;325.8000000;315.2000000;325.2700000;16.993.332
US1.AAPL;D;110622;000000;325.1400000;328.9000000;322.3800000;322.6000000;13.388.364
US1.AAPL;D;110623;000000;318.9700000;331.6900000;318.1200000;331.2400000;18.994.083
US1.AAPL;D;110624;000000;331.4200000;333.1500000;325.0900000;326.3500000;14.514.781
US1.AAPL;D;110627;000000;327.6300000;333.9000000;327.2500000;332.0800000;10.411.914
US1.AAPL;D;110628;000000;333.7000000;336.7000000;333.4400000;335.2600000;9.759.476
US1.AAPL;D;110629;000000;336.0400000;336.3700000;331.8800000;334.0400000;11.952.006
US1.AAPL;D;110630;000000;334.7000000;336.1300000;332.8400000;335.6000000;10.664.770
US1.AAPL;D;110701;000000;335.8400000;343.5000000;334.2000000;343.4000000;14.924.075
US1.AAPL;D;110705;000000;342.9000000;349.8300000;342.5000000;349.3100000;11.541.741
US1.AAPL;D;110706;000000;348.9500000;354.1000000;346.7100000;351.8400000;15.277.438
US1.AAPL;D;110707;000000;354.7500000;358.0000000;354.0000000;357.2100000;13.503.593
US1.AAPL;D;110708;000000;353.3400000;360.0000000;352.2000000;359.7200000;16.565.741
US1.AAPL;D;110711;000000;356.3400000;359.7700000;352.8200000;354.1000000;15.066.567
US1.AAPL;D;110712;000000;353.5900000;357.6800000;348.6200000;353.8500000;15.503.519
US1.AAPL;D;110713;000000;358.3300000;360.0000000;356.3800000;358.1400000;13.335.642
US1.AAPL;D;110714;000000;361.0200000;361.6100000;356.3400000;357.9100000;14.186.220
US1.AAPL;D;110715;000000;361.1700000;365.0000000;359.1700000;364.9600000;16.131.941
US1.AAPL;D;110718;000000;365.4300000;374.6500000;365.2800000;373.8200000;19.351.555
US1.AAPL;D;110719;000000;377.9900000;378.6500000;373.3200000;376.8500000;23.331.876
US1.AAPL;D;110720;000000;396.2100000;396.2700000;386.0000000;387.0000000;31.643.596
US1.AAPL;D;110721;000000;387.0000000;390.0600000;383.9000000;387.2800000;17.362.546
US1.AAPL;D;110722;000000;388.3200000;395.0500000;387.7500000;393.3000000;17.828.787
US1.AAPL;D;110725;000000;390.1800000;400.0000000;389.6200000;398.4110000;20.166.529
US1.AAPL;D;110726;000000;400.0000000;404.5000000;399.6800000;403.2600000;15.806.724
US1.AAPL;D;110727;000000;400.5500000;402.6400000;392.1500000;392.5800000;22.313.903
US1.AAPL;D;110728;000000;391.6200000;396.9900000;388.1300000;391.9100000;19.844.678
US1.AAPL;D;110729;000000;387.6400000;395.1500000;384.0000000;390.6920000;21.115.959
US1.AAPL;D;110801;000000;397.6800000;399.5000000;392.3700000;396.7400000;20.750.079
US1.AAPL;D;110802;000000;397.6300000;397.9000000;388.3500000;388.9200000;21.469.194
US1.AAPL;D;110803;000000;390.9800000;393.5500000;382.2400000;392.5700000;25.338.008
US1.AAPL;D;110804;000000;389.5800000;391.3200000;377.3500000;377.3500000;29.988.398
US1.AAPL;D;110805;000000;380.5300000;383.5000000;362.5700000;373.7500000;40.622.900
US1.AAPL;D;110808;000000;361.7000000;367.7700000;353.0200000;353.3500000;38.595.459
US1.AAPL;D;110809;000000;361.5500000;374.6100000;355.0000000;374.4200000;36.255.107
US1.AAPL;D;110810;000000;371.1900000;374.6500000;362.5000000;363.0000000;29.481.024
US1.AAPL;D;110811;000000;370.5200000;375.4500000;364.7200000;373.6800000;24.135.922
US1.AAPL;D;110812;000000;378.0000000;379.6400000;374.2300000;376.8600000;17.887.898
US1.AAPL;D;110815;000000;379.6400000;384.9700000;378.0900000;383.3000000;15.750.385
US1.AAPL;D;110816;000000;381.5200000;383.3700000;376.0600000;380.4000000;16.981.808
US1.AAPL;D;110817;000000;382.3500000;384.5200000;378.0000000;380.2100000;14.361.104
US1.AAPL;D;110818;000000;370.7200000;372.6500000;361.3700000;365.8500000;29.163.787
US1.AAPL;D;110819;000000;362.1700000;367.0000000;356.0000000;356.0800000;26.225.568
US1.AAPL;D;110822;000000;364.6400000;364.8800000;355.0900000;356.4100000;18.087.205
US1.AAPL;D;110823;000000;360.1600000;373.6400000;357.0000000;373.5900000;22.478.799
